meeting_number$meeting_date$topic$location$lobbyist_id$lobbyist_name$representative_name$directorate_name$role
1$2023-04-04$Bank regulation and NPL secondary market$Brussels$000104242849-49$Hoist Finance AB (publ)$Tommy De Temmerman$$
2$2021-07-22$Non-performing loans$video-conference$000104242849-49$Hoist Finance AB (publ)$Andrea Beltramello$$
3$2021-07-02$Hoist Finance. Bank limits.$video call$000104242849-49$Hoist Finance AB (publ)$Tommy De Temmerman$$
1$2025-02-11$Exchange of view on the Circular Economy Act (CEA)$Brussels$0001976677-12$The European Organisation for Packaging and the Environment$Stefano Soro$$
2$2023-11-30$Packaging and packaging waste regulation proposal$Brussels$0001976677-12$The European Organisation for Packaging and the Environment$Rozalina Petrova$$
3$2023-11-30$Packaging and packaging waste regulation proposal$video-conference$0001976677-12$The European Organisation for Packaging and the Environment$Helena Braun$$
4$2022-11-23$Proposal for a revision of the EU legislation on packaging and packaging waste$Brussels$0001976677-12$The European Organisation for Packaging and the Environment$sandra gallina$DG SANTE — Directorate-General for Health and Food Safety$direttore generale
5$2022-11-14$Packaging and Packaging Waste Regulation (PPWR)$Brussels$0001976677-12$The European Organisation for Packaging and the Environment$Peter van Kemseke$$
6$2022-10-28$Implementation of circular economy and the revision of EU packaging rules$video-call$0001976677-12$The European Organisation for Packaging and the Environment$Helena Braun$$
7$2022-09-21$VTC meeting on food contact materials and the Packaging and Packaging Waste Directive$Bruxelles$0001976677-12$The European Organisation for Packaging and the Environment$Ralf Kuhne$$
8$2022-07-12$Packaging and Packaging Waste Directive$video-call$0001976677-12$The European Organisation for Packaging and the Environment$Caroline Boeshertz$$
9$2022-07-06$To discuss the review of the Packaging and Packaging Waste Directive (PPWD)$Brussels$0001976677-12$The European Organisation for Packaging and the Environment$Jorge Pinto Antunes$$
10$2022-05-31$will follow$Videoconference$0001976677-12$The European Organisation for Packaging and the Environment$Joan Canton$$
11$2022-05-30$Circular economy: packaging and packaging waste directive; ecodesign for sustainable products$Videoconference$0001976677-12$The European Organisation for Packaging and the Environment$Joan Canton$$
12$2022-02-04$revision of the Packaging and Packaging Waste Directive$video-call$0001976677-12$The European Organisation for Packaging and the Environment$Helena Braun$$
